Clock cycle: 0 || Flit:  Head  || Source: 1 || Destination: 3 || Present Router: Router 1 || Next Router: Router 2 || Type: Input buffer 
Clock cycle: 1 || Flit:  Head  || Source: 1 || Destination: 3 || Present Router: Router 1 || Next Router: Router 2 || Type: SA 
Clock cycle: 1 || Flit:  Head  || Source: 4 || Destination: 8 || Present Router: Router 4 || Next Router: Router 5 || Type: Input buffer 
Clock cycle: 2 || Flit:  Head  || Source: 1 || Destination: 3 || Present Router: Router 1 || Next Router: Router 2 || Type: Crossbar 
Clock cycle: 2 || Flit:  Head  || Source: 4 || Destination: 8 || Present Router: Router 4 || Next Router: Router 5 || Type: SA 
Clock cycle: 2 || Flit:  Body  || Source: 1 || Destination: 3 || Present Router: Router 1 || Next Router: Router 2 || Type: Input buffer 
Clock cycle: 2 || Flit:  Body  || Source: 4 || Destination: 8 || Present Router: Router 4 || Next Router: Router 5 || Type: Input buffer 
Clock cycle: 3 || Flit:  Head  || Source: 1 || Destination: 3 || Present Router: Router 2 || Next Router: Router 3 || Type: Input buffer 
Clock cycle: 3 || Flit:  Head  || Source: 4 || Destination: 8 || Present Router: Router 4 || Next Router: Router 5 || Type: Crossbar 
Clock cycle: 3 || Flit:  Body  || Source: 1 || Destination: 3 || Present Router: Router 1 || Next Router: Router 2 || Type: SA 
Clock cycle: 3 || Flit:  Body  || Source: 4 || Destination: 8 || Present Router: Router 4 || Next Router: Router 5 || Type: SA 
Clock cycle: 3 || Flit:  Head  || Source: 5 || Destination: 1 || Present Router: Router 5 || Next Router: Router 6 || Type: Input buffer 
Clock cycle: 4 || Flit:  Head  || Source: 1 || Destination: 3 || Present Router: Router 2 || Next Router: Router 3 || Type: SA 
Clock cycle: 4 || Flit:  Head  || Source: 4 || Destination: 8 || Present Router: Router 5 || Next Router: Router 6 || Type: Input buffer 
Clock cycle: 4 || Flit:  Body  || Source: 1 || Destination: 3 || Present Router: Router 1 || Next Router: Router 2 || Type: Crossbar 
Clock cycle: 4 || Flit:  Body  || Source: 4 || Destination: 8 || Present Router: Router 4 || Next Router: Router 5 || Type: Crossbar 
Clock cycle: 4 || Flit:  Head  || Source: 5 || Destination: 1 || Present Router: Router 5 || Next Router: Router 6 || Type: SA 
Clock cycle: 4 || Flit:  Tail  || Source: 1 || Destination: 3 || Present Router: Router 1 || Next Router: Router 2 || Type: Input buffer 
Clock cycle: 4 || Flit:  Body  || Source: 5 || Destination: 1 || Present Router: Router 5 || Next Router: Router 6 || Type: Input buffer 
Clock cycle: 5 || Flit:  Head  || Source: 1 || Destination: 3 || Present Router: Router 2 || Next Router: Router 3 || Type: Crossbar 
Clock cycle: 5 || Flit:  Head  || Source: 4 || Destination: 8 || Present Router: Router 5 || Next Router: Router 6 || Type: SA 
