Clock cycle: 0 || Flit:  Head  || Source: 1 || Destination: 3 || Present router: Router 1 || Type: Input buffer || Delay: 3
Clock cycle: 1 || Flit:  Head  || Source: 1 || Destination: 3 || Present router: Router 1 || Type: SA || Delay: 6
Clock cycle: 1 || Flit:  Head  || Source: 4 || Destination: 8 || Present router: Router 4 || Type: Input buffer || Delay: 3
Clock cycle: 2 || Flit:  Head  || Source: 1 || Destination: 3 || Present router: Router 1 || Type: Crossbar || Delay: 9
Clock cycle: 2 || Flit:  Head  || Source: 4 || Destination: 8 || Present router: Router 4 || Type: SA || Delay: 6
Clock cycle: 2 || Flit:  Body  || Source: 1 || Destination: 3 || Present router: Router 1 || Type: Input buffer || Delay: 3
Clock cycle: 2 || Flit:  Body  || Source: 4 || Destination: 8 || Present router: Router 4 || Type: Input buffer || Delay: 3
Clock cycle: 3 || Flit:  Head  || Source: 1 || Destination: 3 || Present router: Router 2 || Type: Input buffer || Delay: 12
Clock cycle: 3 || Flit:  Head  || Source: 4 || Destination: 8 || Present router: Router 4 || Type: Crossbar || Delay: 9
Clock cycle: 3 || Flit:  Body  || Source: 1 || Destination: 3 || Present router: Router 1 || Type: SA || Delay: 6
Clock cycle: 3 || Flit:  Body  || Source: 4 || Destination: 8 || Present router: Router 4 || Type: SA || Delay: 6
Clock cycle: 3 || Flit:  Head  || Source: 5 || Destination: 1 || Present router: Router 5 || Type: Input buffer || Delay: 3
Clock cycle: 4 || Flit:  Head  || Source: 1 || Destination: 3 || Present router: Router 2 || Type: SA || Delay: 15
Clock cycle: 4 || Flit:  Head  || Source: 4 || Destination: 8 || Present router: Router 5 || Type: Input buffer || Delay: 12
Clock cycle: 4 || Flit:  Body  || Source: 1 || Destination: 3 || Present router: Router 1 || Type: Crossbar || Delay: 9
Clock cycle: 4 || Flit:  Body  || Source: 4 || Destination: 8 || Present router: Router 4 || Type: Crossbar || Delay: 9
Clock cycle: 4 || Flit:  Head  || Source: 5 || Destination: 1 || Present router: Router 5 || Type: SA || Delay: 6
Clock cycle: 4 || Flit:  Tail  || Source: 1 || Destination: 3 || Present router: Router 1 || Type: Input buffer || Delay: 3
Clock cycle: 4 || Flit:  Body  || Source: 5 || Destination: 1 || Present router: Router 5 || Type: Input buffer || Delay: 3
Clock cycle: 5 || Flit:  Head  || Source: 1 || Destination: 3 || Present router: Router 2 || Type: Crossbar || Delay: 18
Clock cycle: 5 || Flit:  Head  || Source: 4 || Destination: 8 || Present router: Router 5 || Type: SA || Delay: 15
Clock cycle: 5 || Flit:  Body  || Source: 1 || Destination: 3 || Present router: Router 2 || Type: Input buffer || Delay: 12
Clock cycle: 5 || Flit:  Body  || Source: 4 || Destination: 8 || Present router: Router 5 || Type: Input buffer || Delay: 12
Clock cycle: 5 || Flit:  Head  || Source: 5 || Destination: 1 || Present router: Router 5 || Type: Crossbar || Delay: 9
